Date,Hour,Total_series_values
2016-03-18,19,2178
2016-03-18,20,1842
2016-03-18,21,1597
2016-03-18,22,1341
2016-03-18,23,1171
2016-03-19,0,1064
2016-03-19,1,1043
2016-03-19,2,1023
2016-03-19,3,1043
2016-03-19,4,1040
2016-03-19,5,1030
2016-03-19,6,1034
2016-03-19,7,1033
2016-03-19,8,1119
2016-03-19,9,1196
2016-03-19,10,1245
2016-03-19,11,1313
2016-03-19,12,1287
2016-03-19,13,1260
2016-03-19,14,1199
2016-03-19,15,1225
2016-03-19,16,1180
2016-03-19,17,1067
2016-03-19,18,1030
2016-03-19,19,1049
2016-03-19,20,1065
2016-03-19,21,1077
2016-03-19,22,1074
2016-03-19,23,1069
2016-03-20,0,1059
2016-03-20,1,1050
2016-03-20,2,1045
2016-03-20,3,1056
2016-03-20,4,1054
2016-03-20,5,1055
2016-03-20,6,1053
2016-03-20,7,1040
2016-03-20,8,1006
2016-03-20,9,957
2016-03-20,10,896
2016-03-20,11,862
2016-03-20,12,841
2016-03-20,13,860
2016-03-20,14,847
2016-03-20,15,879
2016-03-20,16,928
2016-03-20,17,949
2016-03-20,18,1009
2016-03-20,19,1061
2016-03-20,20,1075
2016-03-20,21,1100
2016-03-20,22,1084
2016-03-20,23,1073
2016-03-21,0,1057
2016-03-21,1,1040
2016-03-21,2,1048
2016-03-21,3,1040
2016-03-21,4,1081
2016-03-21,5,1243
2016-03-21,6,1394
2016-03-21,7,1782
2016-03-21,8,2248
2016-03-21,9,2790
2016-03-21,10,3106
2016-03-21,11,3377
2016-03-21,12,3544
2016-03-21,13,3696
2016-03-21,14,3712
2016-03-21,15,3689
2016-03-21,16,3555
2016-03-21,17,3410
2016-03-21,18,3031
2016-03-21,19,2331
2016-03-21,20,1926
2016-03-21,21,1763
2016-03-21,22,1528
2016-03-21,23,1319
2016-03-22,0,1215
2016-03-22,1,1127
2016-03-22,2,1092
2016-03-22,3,1085
2016-03-22,4,1123
2016-03-22,5,1265
2016-03-22,6,1401
2016-03-22,7,1669
2016-03-22,8,2150
2016-03-22,9,2644
2016-03-22,10,3016
2016-03-22,11,3379
2016-03-22,12,3643
2016-03-22,13,3883
2016-03-22,14,4055
2016-03-22,15,4014
2016-03-22,16,3886
2016-03-22,17,3777
2016-03-22,18,3419
2016-03-22,19,2465
2016-03-22,20,1980
2016-03-22,21,1825
2016-03-22,22,1586
2016-03-22,23,1378
2016-03-23,0,1257
2016-03-23,1,1226
2016-03-23,2,1239
2016-03-23,3,1238
2016-03-23,4,1272
2016-03-23,5,1422
2016-03-23,6,1498
2016-03-23,7,1760
2016-03-23,8,2345
2016-03-23,9,3022
2016-03-23,10,3312
2016-03-23,11,3667
2016-03-23,12,4030
2016-03-23,13,4461
2016-03-23,14,4537
2016-03-23,15,4230
2016-03-23,16,4273
2016-03-23,17,3978
2016-03-23,18,3498
2016-03-23,19,2647
2016-03-23,20,2128
2016-03-23,21,1910
2016-03-23,22,1661
2016-03-23,23,1451
2016-03-24,0,1335
2016-03-24,1,1300
2016-03-24,2,1308
2016-03-24,3,1294
2016-03-24,4,1345
2016-03-24,5,1511
2016-03-24,6,1602
2016-03-24,7,2039
2016-03-24,8,2456
2016-03-24,9,3025
2016-03-24,10,3352
2016-03-24,11,3552
2016-03-24,12,3735
2016-03-24,13,4014
2016-03-24,14,4098
2016-03-24,15,3980
2016-03-24,16,3784
2016-03-24,17,3531
2016-03-24,18,3065
2016-03-24,19,2419
2016-03-24,20,2035
2016-03-24,21,1871
2016-03-24,22,1678
2016-03-24,23,1492
2016-03-25,0,1349
2016-03-25,1,1292
2016-03-25,2,1248
2016-03-25,3,1236
2016-03-25,4,1212
2016-03-25,5,1147
2016-03-25,6,1146
2016-03-25,7,1338
2016-03-25,8,1457
2016-03-25,9,1518
2016-03-25,10,1544
2016-03-25,11,1533
2016-03-25,12,1459
2016-03-25,13,1415
2016-03-25,14,1390
2016-03-25,15,1369
2016-03-25,16,1436
2016-03-25,17,1478
2016-03-25,18,1553
2016-03-25,19,1351
2016-03-25,20,1267
2016-03-25,21,1255
2016-03-25,22,1216
2016-03-25,23,1102
2016-03-26,0,1032
2016-03-26,1,1014
2016-03-26,2,1006
2016-03-26,3,1016
2016-03-26,4,1002
2016-03-26,5,1005
2016-03-26,6,1011
2016-03-26,7,994
2016-03-26,8,1063
2016-03-26,9,1085
2016-03-26,10,1057
2016-03-26,11,1054
2016-03-26,12,1017
2016-03-26,13,1010
2016-03-26,14,1039
2016-03-26,15,1048
2016-03-26,16,1072
2016-03-26,17,1011
2016-03-26,18,1021
2016-03-26,19,1035
2016-03-26,20,1045
2016-03-26,21,1048
2016-03-26,22,1021
2016-03-26,23,1015
2016-03-27,0,1007
2016-03-27,1,992
2016-03-27,2,976
2016-03-27,3,975
2016-03-27,4,976
2016-03-27,5,985
2016-03-27,6,991
2016-03-27,7,977
2016-03-27,8,972
2016-03-27,9,951
2016-03-27,10,872
2016-03-27,11,851
2016-03-27,12,879
2016-03-27,13,840
2016-03-27,14,854
2016-03-27,15,855
2016-03-27,16,840
2016-03-27,17,896
2016-03-27,18,958
2016-03-27,19,990
2016-03-27,20,1002
2016-03-27,21,1001
2016-03-27,22,1000
2016-03-27,23,1006
2016-03-28,0,975
2016-03-28,1,979
2016-03-28,2,969
2016-03-28,3,964
2016-03-28,4,955
2016-03-28,5,967
2016-03-28,6,990
2016-03-28,7,1407
2016-03-28,8,1526
2016-03-28,9,1478
2016-03-28,10,1410
2016-03-28,11,1350
2016-03-28,12,1330
2016-03-28,13,1313
2016-03-28,14,1350
2016-03-28,15,1370
2016-03-28,16,1387
2016-03-28,17,1422
2016-03-28,18,1450
2016-03-28,19,1261
2016-03-28,20,1196
2016-03-28,21,1178
2016-03-28,22,1172
2016-03-28,23,1091
2016-03-29,0,1064
2016-03-29,1,1061
2016-03-29,2,1003
2016-03-29,3,960
2016-03-29,4,946
2016-03-29,5,968
2016-03-29,6,1006
2016-03-29,7,1274
2016-03-29,8,1399
2016-03-29,9,1403
2016-03-29,10,1421
2016-03-29,11,1482
2016-03-29,12,1467
2016-03-29,13,1489
2016-03-29,14,1452
2016-03-29,15,1445
2016-03-29,16,1406
2016-03-29,17,1416
2016-03-29,18,1415
2016-03-29,19,1220
2016-03-29,20,1135
2016-03-29,21,1101
2016-03-29,22,1092
2016-03-29,23,1011
2016-03-30,0,981
2016-03-30,1,1016
2016-03-30,2,977
2016-03-30,3,951
2016-03-30,4,1002
2016-03-30,5,1179
2016-03-30,6,1319
2016-03-30,7,1660
2016-03-30,8,2115
2016-03-30,9,2640
2016-03-30,10,2989
2016-03-30,11,3141
2016-03-30,12,3111
2016-03-30,13,3110
2016-03-30,14,3017
2016-03-30,15,2807
2016-03-30,16,2706
2016-03-30,17,2521
2016-03-30,18,2194
2016-03-30,19,1771
2016-03-30,20,1519
2016-03-30,21,1316
2016-03-30,22,1135
2016-03-30,23,1014
2016-03-31,0,958
2016-03-31,1,951
2016-03-31,2,958
2016-03-31,3,939
2016-03-31,4,1016
2016-03-31,5,1203
2016-03-31,6,1322
2016-03-31,7,1764
2016-03-31,8,2210
2016-03-31,9,2600
2016-03-31,10,2813
2016-03-31,11,2981
2016-03-31,12,2919
2016-03-31,13,3133
2016-03-31,14,3183
2016-03-31,15,3082
2016-03-31,16,2968
2016-03-31,17,2781
2016-03-31,18,2464
2016-03-31,19,1923
2016-03-31,20,1667
2016-03-31,21,1494
2016-03-31,22,1325
2016-03-31,23,1215
2016-04-01,0,1168
2016-04-01,1,1151
2016-04-01,2,1139
2016-04-01,3,1121
2016-04-01,4,1179
2016-04-01,5,1299
2016-04-01,6,1314
2016-04-01,7,1614
2016-04-01,8,2013
2016-04-01,9,2496
2016-04-01,10,2813
2016-04-01,11,3023
2016-04-01,12,3141
2016-04-01,13,3371
2016-04-01,14,3530
2016-04-01,15,3467
2016-04-01,16,3316
2016-04-01,17,3111
2016-04-01,18,2765
2016-04-01,19,2053
2016-04-01,20,1704
2016-04-01,21,1596
2016-04-01,22,1182
2016-04-01,23,2296
2016-04-02,0,1501
2016-04-02,1,1153
2016-04-02,2,1158
2016-04-02,3,1163
2016-04-02,4,1158
2016-04-02,5,1138
2016-04-02,6,1150
2016-04-02,7,1132
2016-04-02,8,1268
2016-04-02,9,1328
2016-04-02,10,1380
2016-04-02,11,1453
2016-04-02,12,1469
2016-04-02,13,1423
2016-04-02,14,1330
2016-04-02,15,1232
2016-04-02,16,1124
2016-04-02,17,1048
2016-04-02,18,1119
2016-04-02,19,1136
2016-04-02,20,1132
2016-04-02,21,1081
2016-04-02,22,1088
2016-04-02,23,1093
2016-04-03,0,1080
2016-04-03,1,1055
2016-04-03,2,2077
2016-04-03,3,1017
2016-04-03,4,1002
2016-04-03,5,1012
2016-04-03,6,998
2016-04-03,7,1013
2016-04-03,8,975
2016-04-03,9,906
2016-04-03,10,858
2016-04-03,11,920
2016-04-03,12,911
2016-04-03,13,930
2016-04-03,14,907
2016-04-03,15,866
2016-04-03,16,913
2016-04-03,17,992
2016-04-03,18,1069
2016-04-03,19,1082
2016-04-03,20,1062
2016-04-03,21,1035
2016-04-03,22,1028
2016-04-03,23,1013
2016-04-04,0,1008
2016-04-04,1,1011
2016-04-04,2,991
2016-04-04,3,975
2016-04-04,4,1047
2016-04-04,5,1177
2016-04-04,6,1254
2016-04-04,7,1748
2016-04-04,8,2208
2016-04-04,9,2722
2016-04-04,10,3013
2016-04-04,11,3232
2016-04-04,12,3477
2016-04-04,13,3675
2016-04-04,14,3771
2016-04-04,15,3773
2016-04-04,16,3702
2016-04-04,17,3434
2016-04-04,18,2995
2016-04-04,19,2192
2016-04-04,20,1805
2016-04-04,21,1671
2016-04-04,22,1464
2016-04-04,23,1272
2016-04-05,0,1135
2016-04-05,1,1086
2016-04-05,2,1062
2016-04-05,3,1056
2016-04-05,4,1146
2016-04-05,5,1290
2016-04-05,6,1367
2016-04-05,7,1668
2016-04-05,8,2235
2016-04-05,9,2731
2016-04-05,10,3132
2016-04-05,11,3552
2016-04-05,12,3972
2016-04-05,13,4370
2016-04-05,14,4585
2016-04-05,15,4495
2016-04-05,16,4263
2016-04-05,17,4014
2016-04-05,18,3559
2016-04-05,19,2531
2016-04-05,20,1980
2016-04-05,21,1773
2016-04-05,22,1555
2016-04-05,23,1337
2016-04-06,0,1278
2016-04-06,1,1285
2016-04-06,2,1255
2016-04-06,3,1226
2016-04-06,4,1298
2016-04-06,5,1465
2016-04-06,6,1551
2016-04-06,7,1888
2016-04-06,8,2305
2016-04-06,9,2900
2016-04-06,10,3211
2016-04-06,11,3518
2016-04-06,12,3778
2016-04-06,13,3857
2016-04-06,14,3735
2016-04-06,15,3536
2016-04-06,16,3262
2016-04-06,17,3065
2016-04-06,18,2778
2016-04-06,19,2036
2016-04-06,20,1630
2016-04-06,21,1463
2016-04-06,22,1239
2016-04-06,23,1041
2016-04-07,0,1005
2016-04-07,1,987
2016-04-07,2,965
2016-04-07,3,963
2016-04-07,4,1051
2016-04-07,5,1203
2016-04-07,6,1295
2016-04-07,7,1801
2016-04-07,8,2327
2016-04-07,9,2802
2016-04-07,10,3043
2016-04-07,11,3300
2016-04-07,12,3501
2016-04-07,13,3610
2016-04-07,14,3743
2016-04-07,15,3582
2016-04-07,16,3345
2016-04-07,17,3174
2016-04-07,18,2848
2016-04-07,19,2209
2016-04-07,20,1851
2016-04-07,21,1690
2016-04-07,22,1461
2016-04-07,23,1189
2016-04-08,0,1087
2016-04-08,1,1046
2016-04-08,2,1018
2016-04-08,3,1006
2016-04-08,4,1082
2016-04-08,5,1264
2016-04-08,6,1358
2016-04-08,7,1738
2016-04-08,8,2310
2016-04-08,9,2874
2016-04-08,10,3165
2016-04-08,11,3330
2016-04-08,12,3467
2016-04-08,13,3581
2016-04-08,14,3533
2016-04-08,15,3289
2016-04-08,16,3132
2016-04-08,17,2966
2016-04-08,18,2647
2016-04-08,19,2037
2016-04-08,20,1708
2016-04-08,21,1566
2016-04-08,22,1380
2016-04-08,23,1142
2016-04-09,0,1059
2016-04-09,1,1040
2016-04-09,2,1027
2016-04-09,3,1003
2016-04-09,4,996
2016-04-09,5,1008
2016-04-09,6,1000
2016-04-09,7,1026
2016-04-09,8,1108
2016-04-09,9,1093
2016-04-09,10,1062
2016-04-09,11,1086
2016-04-09,12,1123
2016-04-09,13,1168
2016-04-09,14,1102
2016-04-09,15,1172
2016-04-09,16,1180
2016-04-09,17,1103
2016-04-09,18,1113
2016-04-09,19,1115
2016-04-09,20,1085
2016-04-09,21,1076
2016-04-09,22,1082
2016-04-09,23,1081
2016-04-10,0,1056
2016-04-10,1,1024
2016-04-10,2,1025
2016-04-10,3,998
2016-04-10,4,1006
2016-04-10,5,1027
2016-04-10,6,990
2016-04-10,7,1000
2016-04-10,8,999
2016-04-10,9,948
2016-04-10,10,902
2016-04-10,11,925
2016-04-10,12,999
2016-04-10,13,966
2016-04-10,14,939
2016-04-10,15,960
2016-04-10,16,995
2016-04-10,17,1007
2016-04-10,18,1059
2016-04-10,19,1079
2016-04-10,20,1056
2016-04-10,21,1033
2016-04-10,22,1031
2016-04-10,23,1032
2016-04-11,0,1035
2016-04-11,1,1006
2016-04-11,2,981
2016-04-11,3,997
2016-04-11,4,1091
2016-04-11,5,1234
2016-04-11,6,1326
2016-04-11,7,1671
2016-04-11,8,2230
2016-04-11,9,2713
2016-04-11,10,3100
2016-04-11,11,3357
2016-04-11,12,3628
2016-04-11,13,3775
2016-04-11,14,3719
2016-04-11,15,3464
2016-04-11,16,3316
2016-04-11,17,3097
2016-04-11,18,2726
2016-04-11,19,2135
2016-04-11,20,1852
2016-04-11,21,1686
2016-04-11,22,1377
2016-04-11,23,1162
2016-04-12,0,1081
2016-04-12,1,1041
2016-04-12,2,1041
2016-04-12,3,1023
2016-04-12,4,1112
2016-04-12,5,1273
2016-04-12,6,1385
2016-04-12,7,1726
2016-04-12,8,2228
2016-04-12,9,2831
2016-04-12,10,3228
2016-04-12,11,3410
2016-04-12,12,3519
2016-04-12,13,3772
2016-04-12,14,3746
2016-04-12,15,3508
2016-04-12,16,3371
2016-04-12,17,3168
2016-04-12,18,2799
2016-04-12,19,2150
2016-04-12,20,1761
2016-04-12,21,1539
2016-04-12,22,1302
2016-04-12,23,1138
2016-04-13,0,1113
2016-04-13,1,1086
2016-04-13,2,1064
2016-04-13,3,1042
2016-04-13,4,1138
2016-04-13,5,1289
2016-04-13,6,1385
2016-04-13,7,1779
2016-04-13,8,2285
2016-04-13,9,2772
2016-04-13,10,3051
2016-04-13,11,3278
2016-04-13,12,3396
2016-04-13,13,3695
2016-04-13,14,3677
2016-04-13,15,3523
2016-04-13,16,3247
2016-04-13,17,3114
2016-04-13,18,2838
2016-04-13,19,2185
2016-04-13,20,1780
2016-04-13,21,1630
2016-04-13,22,1313
2016-04-13,23,1093
2016-04-14,0,1049
2016-04-14,1,1036
2016-04-14,2,1023
2016-04-14,3,1011
2016-04-14,4,1095
2016-04-14,5,1274
2016-04-14,6,1357
2016-04-14,7,1785
2016-04-14,8,2401
2016-04-14,9,2872
2016-04-14,10,3045
2016-04-14,11,3293
2016-04-14,12,3686
2016-04-14,13,3972
2016-04-14,14,4221
2016-04-14,15,4218
2016-04-14,16,4142
2016-04-14,17,3881
2016-04-14,18,3386
2016-04-14,19,2432
2016-04-14,20,1959
2016-04-14,21,1811
2016-04-14,22,1553
2016-04-14,23,1353
2016-04-15,0,1306
2016-04-15,1,1274
2016-04-15,2,1210
2016-04-15,3,1135
2016-04-15,4,1182
2016-04-15,5,1333
2016-04-15,6,1430
2016-04-15,7,1742
2016-04-15,8,2215
2016-04-15,9,2811
2016-04-15,10,3181
2016-04-15,11,3504
2016-04-15,12,3798
2016-04-15,13,4180
2016-04-15,14,4296
2016-04-15,15,4117
2016-04-15,16,3849
2016-04-15,17,3588
2016-04-15,18,2933
2016-04-15,19,2130
2016-04-15,20,1784
2016-04-15,21,1643
2016-04-15,22,1399
2016-04-15,23,1226
2016-04-16,0,1204
2016-04-16,1,1193
2016-04-16,2,1167
2016-04-16,3,1139
2016-04-16,4,1105
2016-04-16,5,1042
2016-04-16,6,1009
2016-04-16,7,1055
2016-04-16,8,1069
2016-04-16,9,1056
2016-04-16,10,1088
2016-04-16,11,1193
2016-04-16,12,1251
2016-04-16,13,1254
2016-04-16,14,1252
2016-04-16,15,1234
2016-04-16,16,1228
2016-04-16,17,1222
2016-04-16,18,1184
2016-04-16,19,1151
2016-04-16,20,1111
2016-04-16,21,1067
2016-04-16,22,1056
2016-04-16,23,1056
2016-04-17,0,1038
2016-04-17,1,1002
2016-04-17,2,974
2016-04-17,3,971
2016-04-17,4,987
2016-04-17,5,983
2016-04-17,6,974
2016-04-17,7,981
2016-04-17,8,969
2016-04-17,9,937
2016-04-17,10,925
2016-04-17,11,834
2016-04-17,12,828
2016-04-17,13,860
2016-04-17,14,859
2016-04-17,15,874
2016-04-17,16,961
2016-04-17,17,1048
2016-04-17,18,1101
2016-04-17,19,1103
2016-04-17,20,1076
2016-04-17,21,1065
2016-04-17,22,1082
2016-04-17,23,1064
2016-04-18,0,1032
2016-04-18,1,988
2016-04-18,2,982
2016-04-18,3,975
2016-04-18,4,1050
2016-04-18,5,1187
2016-04-18,6,1320
2016-04-18,7,1817
2016-04-18,8,2290
2016-04-18,9,2858
2016-04-18,10,3036
2016-04-18,11,3299
2016-04-18,12,3588
2016-04-18,13,3842
2016-04-18,14,4066
2016-04-18,15,4090
2016-04-18,16,3771
2016-04-18,17,3512
2016-04-18,18,2989
2016-04-18,19,2232
2016-04-18,20,1924
2016-04-18,21,1729
2016-04-18,22,1472
2016-04-18,23,1254
2016-04-19,0,1201
2016-04-19,1,1185
2016-04-19,2,1153
2016-04-19,3,1156
2016-04-19,4,1235
2016-04-19,5,1374
2016-04-19,6,1445
2016-04-19,7,1738
2016-04-19,8,2252
2016-04-19,9,2809
2016-04-19,10,3119
