REGION,SETTLEMENTDATE,TOTALDEMAND,Average cents / megawatthour
VIC1,8/10/2020,0:00:00,4264.19
VIC1,8/10/2020,1:00:00,4011.195
VIC1,8/10/2020,2:00:00,3781.05
VIC1,8/10/2020,3:00:00,3701.585
VIC1,8/10/2020,4:00:00,3831.575
VIC1,8/10/2020,5:00:00,4307.555
VIC1,8/10/2020,6:00:00,4874.7
VIC1,8/10/2020,7:00:00,4922.715
VIC1,8/10/2020,8:00:00,4711.685
VIC1,8/10/2020,9:00:00,4615.37
VIC1,8/10/2020,10:00:00,4531.525
VIC1,8/10/2020,11:00:00,4883.125
VIC1,8/10/2020,12:00:00,4891.83
VIC1,8/10/2020,13:00:00,4758.485
VIC1,8/10/2020,14:00:00,4781.39
VIC1,8/10/2020,15:00:00,5083.045
VIC1,8/10/2020,16:00:00,5414.3
VIC1,8/10/2020,17:00:00,5654.04
VIC1,8/10/2020,18:00:00,5598.545
VIC1,8/10/2020,19:00:00,5366.485
VIC1,8/10/2020,20:00:00,4968.005
VIC1,8/10/2020,21:00:00,4515.625
VIC1,8/10/2020,22:00:00,4216.57
VIC1,8/10/2020,23:00:00,4424.665
VIC1,9/10/2020,0:00:00,4261.6
VIC1,9/10/2020,1:00:00,4005.045
VIC1,9/10/2020,2:00:00,3793.15
VIC1,9/10/2020,3:00:00,3767.74
VIC1,9/10/2020,4:00:00,3958.675
VIC1,9/10/2020,5:00:00,4532.62
VIC1,9/10/2020,6:00:00,5163.675
VIC1,9/10/2020,7:00:00,5366.07
VIC1,9/10/2020,8:00:00,5387.54
VIC1,9/10/2020,9:00:00,5156.045
VIC1,9/10/2020,10:00:00,4963.655
VIC1,9/10/2020,11:00:00,4691.34
VIC1,9/10/2020,12:00:00,4652.65
VIC1,9/10/2020,13:00:00,4427.945
VIC1,9/10/2020,14:00:00,4263.445
VIC1,9/10/2020,15:00:00,4361.99
VIC1,9/10/2020,16:00:00,4605.465
VIC1,9/10/2020,17:00:00,5007.04
VIC1,9/10/2020,18:00:00,5329.205
VIC1,9/10/2020,19:00:00,5364.875
VIC1,9/10/2020,20:00:00,5187.93
VIC1,9/10/2020,21:00:00,4867.495
VIC1,9/10/2020,22:00:00,4562.335
VIC1,9/10/2020,23:00:00,4718.76
VIC1,10/10/2020,0:00:00,4477.405
VIC1,10/10/2020,1:00:00,4201.065
VIC1,10/10/2020,2:00:00,3952.765
VIC1,10/10/2020,3:00:00,3887.275
VIC1,10/10/2020,4:00:00,3909.51
VIC1,10/10/2020,5:00:00,4154.715
VIC1,10/10/2020,6:00:00,4368.585
VIC1,10/10/2020,7:00:00,4217.43
VIC1,10/10/2020,8:00:00,3924.93
VIC1,10/10/2020,9:00:00,3597.76
VIC1,10/10/2020,10:00:00,3308.78
VIC1,10/10/2020,11:00:00,3235.99
VIC1,10/10/2020,12:00:00,3342.875
VIC1,10/10/2020,13:00:00,3308.545
VIC1,10/10/2020,14:00:00,3392.235
VIC1,10/10/2020,15:00:00,3647.135
VIC1,10/10/2020,16:00:00,4111.43
VIC1,10/10/2020,17:00:00,4593.195
VIC1,10/10/2020,18:00:00,4839.375
VIC1,10/10/2020,19:00:00,4806.345
VIC1,10/10/2020,20:00:00,4569.135
VIC1,10/10/2020,21:00:00,4401.66
VIC1,10/10/2020,22:00:00,4180.165
VIC1,10/10/2020,23:00:00,4322.27
VIC1,11/10/2020,0:00:00,4133.665
VIC1,11/10/2020,1:00:00,3908.26
VIC1,11/10/2020,2:00:00,3711.28
VIC1,11/10/2020,3:00:00,3609.55
VIC1,11/10/2020,4:00:00,3635.415
VIC1,11/10/2020,5:00:00,3743.065
VIC1,11/10/2020,6:00:00,3848.26
VIC1,11/10/2020,7:00:00,3877.63
VIC1,11/10/2020,8:00:00,3882.125
VIC1,11/10/2020,9:00:00,3884.825
VIC1,11/10/2020,10:00:00,3676.065
VIC1,11/10/2020,11:00:00,3388.235
VIC1,11/10/2020,12:00:00,3103.615
VIC1,11/10/2020,13:00:00,2978.905
VIC1,11/10/2020,14:00:00,3102.86
VIC1,11/10/2020,15:00:00,3440.595
VIC1,11/10/2020,16:00:00,4016.29
VIC1,11/10/2020,17:00:00,4614.445
VIC1,11/10/2020,18:00:00,4882.695
VIC1,11/10/2020,19:00:00,4948.275
VIC1,11/10/2020,20:00:00,4729.2
VIC1,11/10/2020,21:00:00,4440.99
VIC1,11/10/2020,22:00:00,4262.76
VIC1,11/10/2020,23:00:00,4473.815
VIC1,12/10/2020,0:00:00,4318.06
VIC1,12/10/2020,1:00:00,4120.27
VIC1,12/10/2020,2:00:00,3921.78
VIC1,12/10/2020,3:00:00,3941.175
VIC1,12/10/2020,4:00:00,4162.785
VIC1,12/10/2020,5:00:00,4791.815
VIC1,12/10/2020,6:00:00,5468.28
VIC1,12/10/2020,7:00:00,5222.22
VIC1,12/10/2020,8:00:00,4655.52
VIC1,12/10/2020,9:00:00,4265.39
VIC1,12/10/2020,10:00:00,4155.91
VIC1,12/10/2020,11:00:00,3720.02
VIC1,12/10/2020,12:00:00,3518.635
VIC1,12/10/2020,13:00:00,3452.81
VIC1,12/10/2020,14:00:00,3506.76
VIC1,12/10/2020,15:00:00,3953.14
VIC1,12/10/2020,16:00:00,4661.495
VIC1,12/10/2020,17:00:00,5003.765
VIC1,12/10/2020,18:00:00,4955.415
VIC1,12/10/2020,19:00:00,4894.695
VIC1,12/10/2020,20:00:00,4633.96
VIC1,12/10/2020,21:00:00,4343.355
VIC1,12/10/2020,22:00:00,4155.445
VIC1,12/10/2020,23:00:00,4391.29
VIC1,13/10/2020,0:00:00,4300.77
VIC1,13/10/2020,1:00:00,4060.475
VIC1,13/10/2020,2:00:00,3866
VIC1,13/10/2020,3:00:00,3803.325
VIC1,13/10/2020,4:00:00,3975.335
VIC1,13/10/2020,5:00:00,4547.29
VIC1,13/10/2020,6:00:00,5114.11
VIC1,13/10/2020,7:00:00,5105.07
VIC1,13/10/2020,8:00:00,4969.695
VIC1,13/10/2020,9:00:00,4728.03
VIC1,13/10/2020,10:00:00,4531.13
VIC1,13/10/2020,11:00:00,4409.53
VIC1,13/10/2020,12:00:00,4234.005
VIC1,13/10/2020,13:00:00,4156.225
VIC1,13/10/2020,14:00:00,4168.26
VIC1,13/10/2020,15:00:00,4365.44
VIC1,13/10/2020,16:00:00,4742.545
VIC1,13/10/2020,17:00:00,5203.035
VIC1,13/10/2020,18:00:00,5291.72
VIC1,13/10/2020,19:00:00,5265.82
VIC1,13/10/2020,20:00:00,4946.78
VIC1,13/10/2020,21:00:00,4574.775
VIC1,13/10/2020,22:00:00,4332.115
VIC1,13/10/2020,23:00:00,4528.645
VIC1,14/10/2020,0:00:00,4369.965
VIC1,14/10/2020,1:00:00,4146.565
VIC1,14/10/2020,2:00:00,3947.17
VIC1,14/10/2020,3:00:00,3928.59
VIC1,14/10/2020,4:00:00,4130.885
VIC1,14/10/2020,5:00:00,4710.305
VIC1,14/10/2020,6:00:00,5302.545
VIC1,14/10/2020,7:00:00,5285.37
VIC1,14/10/2020,8:00:00,4995.575
VIC1,14/10/2020,9:00:00,4442.035
VIC1,14/10/2020,10:00:00,3996.335
VIC1,14/10/2020,11:00:00,3808.115
VIC1,14/10/2020,12:00:00,3721.85
VIC1,14/10/2020,13:00:00,3787.78
VIC1,14/10/2020,14:00:00,4029.53
VIC1,14/10/2020,15:00:00,4459.5
VIC1,14/10/2020,16:00:00,4904.78
VIC1,14/10/2020,17:00:00,5183.96
VIC1,14/10/2020,18:00:00,5185.095
VIC1,14/10/2020,19:00:00,5071.37
VIC1,14/10/2020,20:00:00,4679.635
VIC1,14/10/2020,21:00:00,4303.935
VIC1,14/10/2020,22:00:00,4043.58
VIC1,14/10/2020,23:00:00,4256.895
VIC1,15/10/2020,0:00:00,4013.39
VIC1,15/10/2020,1:00:00,3844.06
VIC1,15/10/2020,2:00:00,3662.51
VIC1,15/10/2020,3:00:00,3554.91
VIC1,15/10/2020,4:00:00,3829.545
VIC1,15/10/2020,5:00:00,4409.8
VIC1,15/10/2020,6:00:00,4821.84
VIC1,15/10/2020,7:00:00,4823.195
VIC1,15/10/2020,8:00:00,4872.71
VIC1,15/10/2020,9:00:00,4886.54
VIC1,15/10/2020,10:00:00,4868.735
VIC1,15/10/2020,11:00:00,4959.48
VIC1,15/10/2020,12:00:00,4946.565
VIC1,15/10/2020,13:00:00,4887.035
VIC1,15/10/2020,14:00:00,4945.495
VIC1,15/10/2020,15:00:00,5123.63
VIC1,15/10/2020,16:00:00,5402.59
VIC1,15/10/2020,17:00:00,5448.385
VIC1,15/10/2020,18:00:00,5245.535
VIC1,15/10/2020,19:00:00,4977.68
VIC1,15/10/2020,20:00:00,4708.325
VIC1,15/10/2020,21:00:00,4386.885
VIC1,15/10/2020,22:00:00,4169.17
VIC1,15/10/2020,23:00:00,4434.02
VIC1,16/10/2020,0:00:00,4187.015
VIC1,16/10/2020,1:00:00,3958.44
VIC1,16/10/2020,2:00:00,3754.935
VIC1,16/10/2020,3:00:00,3737.69
VIC1,16/10/2020,4:00:00,3941.35
VIC1,16/10/2020,5:00:00,4460.96
VIC1,16/10/2020,6:00:00,5000.53
VIC1,16/10/2020,7:00:00,4808.85
VIC1,16/10/2020,8:00:00,4424.635
VIC1,16/10/2020,9:00:00,4037.845
VIC1,16/10/2020,10:00:00,3859.205
VIC1,16/10/2020,11:00:00,3877.3
VIC1,16/10/2020,12:00:00,3941.195
VIC1,16/10/2020,13:00:00,4174.45
VIC1,16/10/2020,14:00:00,4408.335
VIC1,16/10/2020,15:00:00,4866.535
VIC1,16/10/2020,16:00:00,5190.095
VIC1,16/10/2020,17:00:00,5394.035
VIC1,16/10/2020,18:00:00,5371.485
VIC1,16/10/2020,19:00:00,5235.655
VIC1,16/10/2020,20:00:00,4911.51
VIC1,16/10/2020,21:00:00,4592.65
VIC1,16/10/2020,22:00:00,4344.145
VIC1,16/10/2020,23:00:00,4483.015
VIC1,17/10/2020,0:00:00,4249.235
VIC1,17/10/2020,1:00:00,3984.47
VIC1,17/10/2020,2:00:00,3823.375
VIC1,17/10/2020,3:00:00,3727.28
VIC1,17/10/2020,4:00:00,3770.635
VIC1,17/10/2020,5:00:00,3916.955
VIC1,17/10/2020,6:00:00,4145.12
VIC1,17/10/2020,7:00:00,4252.74
VIC1,17/10/2020,8:00:00,4207.67
VIC1,17/10/2020,9:00:00,4119.945
VIC1,17/10/2020,10:00:00,3905.84
VIC1,17/10/2020,11:00:00,3703.905
VIC1,17/10/2020,12:00:00,3639.085
VIC1,17/10/2020,13:00:00,3466.41
VIC1,17/10/2020,14:00:00,3430.765
VIC1,17/10/2020,15:00:00,3600.145
VIC1,17/10/2020,16:00:00,4005.65
VIC1,17/10/2020,17:00:00,4497.7
VIC1,17/10/2020,18:00:00,4720.2
VIC1,17/10/2020,19:00:00,4749.215
VIC1,17/10/2020,20:00:00,4478.62
VIC1,17/10/2020,21:00:00,4300.93
VIC1,17/10/2020,22:00:00,4097.3
VIC1,17/10/2020,23:00:00,4203.03
VIC1,18/10/2020,0:00:00,4014.5
VIC1,18/10/2020,1:00:00,3799.625
VIC1,18/10/2020,2:00:00,3617.83
VIC1,18/10/2020,3:00:00,3564.285
VIC1,18/10/2020,4:00:00,3593.655
VIC1,18/10/2020,5:00:00,3762.465
VIC1,18/10/2020,6:00:00,3936.66
VIC1,18/10/2020,7:00:00,4060.97
VIC1,18/10/2020,8:00:00,4094.38
VIC1,18/10/2020,9:00:00,4097.07
VIC1,18/10/2020,10:00:00,3938.96
VIC1,18/10/2020,11:00:00,3833.075
VIC1,18/10/2020,12:00:00,3734.38
VIC1,18/10/2020,13:00:00,3543.345
VIC1,18/10/2020,14:00:00,3574.84
VIC1,18/10/2020,15:00:00,3881.875
VIC1,18/10/2020,16:00:00,4368.255
VIC1,18/10/2020,17:00:00,4765.615
VIC1,18/10/2020,18:00:00,5030.01
VIC1,18/10/2020,19:00:00,5143.305
VIC1,18/10/2020,20:00:00,4817.215
VIC1,18/10/2020,21:00:00,4478.835
VIC1,18/10/2020,22:00:00,4193.485
VIC1,18/10/2020,23:00:00,4360.91
VIC1,19/10/2020,0:00:00,4250.555
VIC1,19/10/2020,1:00:00,4082.365
VIC1,19/10/2020,2:00:00,3877.265
VIC1,19/10/2020,3:00:00,3836.735
VIC1,19/10/2020,4:00:00,4064.645
VIC1,19/10/2020,5:00:00,4716.93
VIC1,19/10/2020,6:00:00,5470.675
VIC1,19/10/2020,7:00:00,5313.74
VIC1,19/10/2020,8:00:00,4883.805
VIC1,19/10/2020,9:00:00,4754.725
VIC1,19/10/2020,10:00:00,4760.58
VIC1,19/10/2020,11:00:00,4744.695
VIC1,19/10/2020,12:00:00,4643.055
VIC1,19/10/2020,13:00:00,4507.615
VIC1,19/10/2020,14:00:00,4418.54
VIC1,19/10/2020,15:00:00,4593.845
VIC1,19/10/2020,16:00:00,4906.15
VIC1,19/10/2020,17:00:00,5233.255
VIC1,19/10/2020,18:00:00,5443.825
VIC1,19/10/2020,19:00:00,5513.205
VIC1,19/10/2020,20:00:00,5245.945
VIC1,19/10/2020,21:00:00,4830.615
VIC1,19/10/2020,22:00:00,4506.245
VIC1,19/10/2020,23:00:00,4667.835
VIC1,20/10/2020,0:00:00,4505.79
VIC1,20/10/2020,1:00:00,4281.87
VIC1,20/10/2020,2:00:00,4086.84
VIC1,20/10/2020,3:00:00,4020.66
VIC1,20/10/2020,4:00:00,4253.61
VIC1,20/10/2020,5:00:00,4916.72
VIC1,20/10/2020,6:00:00,5581.835
VIC1,20/10/2020,7:00:00,5404.62
VIC1,20/10/2020,8:00:00,5048.61
VIC1,20/10/2020,9:00:00,4784.515
VIC1,20/10/2020,10:00:00,4623.355
VIC1,20/10/2020,11:00:00,4465.985
VIC1,20/10/2020,12:00:00,4147.79
VIC1,20/10/2020,13:00:00,3987.98
VIC1,20/10/2020,14:00:00,4060.815
VIC1,20/10/2020,15:00:00,4287.26
VIC1,20/10/2020,16:00:00,4753.135
VIC1,20/10/2020,17:00:00,5218.02
VIC1,20/10/2020,18:00:00,5308.245
VIC1,20/10/2020,19:00:00,5343.65
VIC1,20/10/2020,20:00:00,5063.86
VIC1,20/10/2020,21:00:00,4677.255
VIC1,20/10/2020,22:00:00,4435.69
VIC1,20/10/2020,23:00:00,4589.335
VIC1,21/10/2020,0:00:00,4403.835
VIC1,21/10/2020,1:00:00,4179.205
VIC1,21/10/2020,2:00:00,4000.87
VIC1,21/10/2020,3:00:00,3966.56
VIC1,21/10/2020,4:00:00,4151.2
VIC1,21/10/2020,5:00:00,4719.89
VIC1,21/10/2020,6:00:00,5314.885
VIC1,21/10/2020,7:00:00,5183.135
VIC1,21/10/2020,8:00:00,4913.515
VIC1,21/10/2020,9:00:00,4577.225
VIC1,21/10/2020,10:00:00,4378.535
VIC1,21/10/2020,11:00:00,4219.88
VIC1,21/10/2020,12:00:00,4027.665
VIC1,21/10/2020,13:00:00,3988.435
VIC1,21/10/2020,14:00:00,4130.345
VIC1,21/10/2020,15:00:00,4365.745
VIC1,21/10/2020,16:00:00,4739.8
VIC1,21/10/2020,17:00:00,5107.875
VIC1,21/10/2020,18:00:00,5214.39
VIC1,21/10/2020,19:00:00,5190.265
VIC1,21/10/2020,20:00:00,4893.895
VIC1,21/10/2020,21:00:00,4551.43
VIC1,21/10/2020,22:00:00,4298.705
VIC1,21/10/2020,23:00:00,4496.45
VIC1,22/10/2020,0:00:00,4338.48
VIC1,22/10/2020,1:00:00,4148.53
VIC1,22/10/2020,2:00:00,3968.38
VIC1,22/10/2020,3:00:00,3943.77
VIC1,22/10/2020,4:00:00,4186.565
VIC1,22/10/2020,5:00:00,4724.965
VIC1,22/10/2020,6:00:00,5287.325
VIC1,22/10/2020,7:00:00,5120.3
VIC1,22/10/2020,8:00:00,4708.62
VIC1,22/10/2020,9:00:00,4275.02
VIC1,22/10/2020,10:00:00,4097.085
VIC1,22/10/2020,11:00:00,3838.545
VIC1,22/10/2020,12:00:00,3724.725
VIC1,22/10/2020,13:00:00,3702.145
VIC1,22/10/2020,14:00:00,3837.44
VIC1,22/10/2020,15:00:00,4198.315
VIC1,22/10/2020,16:00:00,4547.695
VIC1,22/10/2020,17:00:00,4869.72
VIC1,22/10/2020,18:00:00,5005.01
VIC1,22/10/2020,19:00:00,5034.385
VIC1,22/10/2020,20:00:00,4790.93
VIC1,22/10/2020,21:00:00,4467.155
VIC1,22/10/2020,22:00:00,4249.52
VIC1,22/10/2020,23:00:00,4444.04
VIC1,23/10/2020,0:00:00,4210.29
VIC1,23/10/2020,1:00:00,3971.195
VIC1,23/10/2020,2:00:00,3770.04
VIC1,23/10/2020,3:00:00,3720.72
VIC1,23/10/2020,4:00:00,3770.315
VIC1,23/10/2020,5:00:00,3951.86
VIC1,23/10/2020,6:00:00,4222.47
VIC1,23/10/2020,7:00:00,4362.61
VIC1,23/10/2020,8:00:00,4465.135
VIC1,23/10/2020,9:00:00,4321.73
VIC1,23/10/2020,10:00:00,4047.84
VIC1,23/10/2020,11:00:00,3925.74
VIC1,23/10/2020,12:00:00,4018.965
VIC1,23/10/2020,13:00:00,3957.49
VIC1,23/10/2020,14:00:00,3964.59
VIC1,23/10/2020,15:00:00,4295.285
VIC1,23/10/2020,16:00:00,4697.415
VIC1,23/10/2020,17:00:00,4859.525
VIC1,23/10/2020,18:00:00,4773.82
VIC1,23/10/2020,19:00:00,4692.47
VIC1,23/10/2020,20:00:00,4416.95
VIC1,23/10/2020,21:00:00,4222.385
VIC1,23/10/2020,22:00:00,4059.32
VIC1,23/10/2020,23:00:00,4250.675
VIC1,24/10/2020,0:00:00,4066.305
VIC1,24/10/2020,1:00:00,3791.23
VIC1,24/10/2020,2:00:00,3532.48
VIC1,24/10/2020,3:00:00,3418.125
VIC1,24/10/2020,4:00:00,3418.98
VIC1,24/10/2020,5:00:00,3573.59
VIC1,24/10/2020,6:00:00,3857.25
VIC1,24/10/2020,7:00:00,4123.4
VIC1,24/10/2020,8:00:00,4347.165
VIC1,24/10/2020,9:00:00,4372.165
VIC1,24/10/2020,10:00:00,4374.275
VIC1,24/10/2020,11:00:00,4273.155
VIC1,24/10/2020,12:00:00,3956.815
VIC1,24/10/2020,13:00:00,3721.555
VIC1,24/10/2020,14:00:00,3643.885
VIC1,24/10/2020,15:00:00,3961.49
VIC1,24/10/2020,16:00:00,4246.865
VIC1,24/10/2020,17:00:00,4632.895
VIC1,24/10/2020,18:00:00,4807.16
VIC1,24/10/2020,19:00:00,4832.29
VIC1,24/10/2020,20:00:00,4699.145
VIC1,24/10/2020,21:00:00,4522.66
VIC1,24/10/2020,22:00:00,4333.91
VIC1,24/10/2020,23:00:00,4363.25
VIC1,25/10/2020,0:00:00,4105.03
VIC1,25/10/2020,1:00:00,3829.05
VIC1,25/10/2020,2:00:00,3610.71
VIC1,25/10/2020,3:00:00,3512.665
VIC1,25/10/2020,4:00:00,3560.28
VIC1,25/10/2020,5:00:00,3673.71
VIC1,25/10/2020,6:00:00,3806.98
VIC1,25/10/2020,7:00:00,3712.275
VIC1,25/10/2020,8:00:00,3518.07
VIC1,25/10/2020,9:00:00,3337.39
VIC1,25/10/2020,10:00:00,3209.97
VIC1,25/10/2020,11:00:00,3395.88
VIC1,25/10/2020,12:00:00,3467.095
VIC1,25/10/2020,13:00:00,3567.57
VIC1,25/10/2020,14:00:00,3785.465
VIC1,25/10/2020,15:00:00,4086.445
VIC1,25/10/2020,16:00:00,4565.43
VIC1,25/10/2020,17:00:00,4955.15
VIC1,25/10/2020,18:00:00,5051.635
VIC1,25/10/2020,19:00:00,5085.425
VIC1,25/10/2020,20:00:00,4795.995
VIC1,25/10/2020,21:00:00,4429.095
VIC1,25/10/2020,22:00:00,4127.835
VIC1,25/10/2020,23:00:00,4269.14
VIC1,26/10/2020,0:00:00,4082.47
VIC1,26/10/2020,1:00:00,3902.505
VIC1,26/10/2020,2:00:00,3727.325
VIC1,26/10/2020,3:00:00,3655.23
VIC1,26/10/2020,4:00:00,3864.79
